date,snowfall,rainfall,daily_avg_temp,daily_avg_wind_speed,daily_avg_specific_humidity,atmospheric_radiation,visible_radiation,daily_avg_relative_humidity,total_evapotranspiration,potential_evapotranspiration,effective_rainfall,daily_avg_soil_moisture_index,SSWI_10J,drainage,runoff,snow_water_equivalent_6h,RESR_NEIGE6,daily_avg_snow_depth,snow_depth_6h,max_snow_depth,daily_avg_snow_cover_fraction,snowmelt_runoff,root_liquid_water,WGI_RACINE,min_temp,max_temp,solar,TWh
2012-01-01,0.0,10.1,13.1,4.9,8.503,3178.4,119.7,91.0,0.4,0.7,9.7,0.814,-0.052,2.1,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,12.8,13.8,6255.0,0.0031275
2012-01-02,0.0,1.0,8.3,3.5,5.646,2590.7,315.4,82.6,0.5,0.6,0.5,0.834,-0.029,2.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.332,0.0,6.1,10.2,4267.0,0.0021335
2012-01-03,0.0,2.0,9.8,6.0,6.429,2843.0,72.7,85.1,0.0,1.1,2.0,0.835,-0.006,1.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,5.1,12.5,6768.0,0.0033840000000000003
2012-01-04,0.0,0.1,8.9,4.7,5.01,2255.0,419.1,71.2,0.3,1.2,-0.2,0.821,0.016,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,7.1,10.1,8655.0,0.0043275
2012-01-05,0.0,1.8,10.5,7.9,5.915,2670.2,239.8,75.0,1.1,1.6,0.7,0.818,0.038,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328,0.0,9.0,13.1,3207.0,0.0016034999999999999
2012-01-06,0.0,0.0,6.7,3.0,4.396,2329.5,446.8,72.2,0.3,0.8,-0.3,0.806,0.061,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327,0.0,5.6,8.8,9441.0,0.0047205
2012-01-07,0.0,0.2,9.3,2.9,6.056,2727.8,153.9,83.6,-0.1,0.6,0.3,0.801,0.085,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326,0.0,6.4,11.5,5574.0,0.002787
2012-01-08,0.0,0.0,8.6,2.0,5.081,2537.6,225.8,73.6,0.0,0.7,0.0,0.796,0.111,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325,0.0,8.3,8.8,5519.0,0.0027595000000000002
2012-01-09,0.0,0.1,9.9,1.7,6.186,2736.5,270.5,81.5,0.0,0.5,0.1,0.791,0.121,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,8.4,11.2,7716.0,0.003858
2012-01-10,0.0,0.0,10.0,1.2,6.562,2878.8,159.7,86.3,0.0,0.4,0.0,0.788,0.112,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,8.7,11.2,9624.0,0.004812
2012-01-11,0.0,0.0,9.2,0.6,5.246,2707.7,296.9,73.2,0.2,0.4,-0.2,0.783,0.086,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323,0.0,8.4,11.3,9890.0,0.004945
2012-01-12,0.0,0.0,8.7,1.9,5.491,2683.7,426.5,79.7,0.3,0.6,-0.3,0.776,0.044,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323,0.0,5.9,12.2,9117.0,0.0045585
2012-01-13,0.0,0.0,6.7,2.0,5.059,2579.6,483.7,83.3,0.7,0.4,-0.7,0.768,-0.003,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.322,0.0,5.8,9.2,7374.0,0.003687
2012-01-14,0.0,0.0,3.2,2.4,3.545,2413.7,664.5,75.4,1.0,0.6,-1.0,0.756,-0.05,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,1.1,6.6,10797.0,0.0053985
2012-01-15,0.0,0.0,2.9,2.3,3.462,2238.0,630.6,74.9,0.6,0.6,-0.6,0.747,-0.105,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318,0.001,1.0,6.4,11375.0,0.0056875
2012-01-16,0.0,0.0,2.6,2.6,2.763,2015.2,554.8,61.4,0.2,0.8,-0.2,0.742,-0.159,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.314,0.003,0.6,6.2,10752.0,0.005376
2012-01-17,0.0,0.0,1.2,1.1,2.905,2182.5,507.5,70.5,0.1,0.3,-0.1,0.739,-0.217,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.311,0.006,-1.8,4.3,10561.0,0.0052805
2012-01-18,0.0,0.8,5.0,3.2,4.787,2805.2,153.8,88.0,-0.1,0.7,0.9,0.738,-0.274,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.314,0.002,0.1,10.5,9058.0,0.004529
